date,MACD_Signal,MACD,MACD_Hist,RSI,Real Lower Band,Real Middle Band,Real Upper Band,4. close,Y,X,Buy/Sell
2020-05-20,9.8773,10.6915,0.8142,62.6429,273.3943,299.711,326.0277,319.23,10856.95546,-2.410383162, 
2020-05-19,9.6737,10.3966,0.7229,60.5349,270.9225,297.5545,324.1865,313.14,10857.2129,-2.152936898, 
2020-05-18,9.493,10.4891,0.996,61.5205,266.8382,295.316,323.7938,314.96,10857.10249,-2.263343931, 
2020-05-15,9.244,10.2692,1.0252,58.994,265.3618,293.4145,321.4672,307.71,10857.38848,-1.977356029, 
2020-05-14,8.9877,10.5774,1.5897,59.9377,264.5572,292.169,319.7808,309.54,10857.24425,-2.121585933, 
2020-05-13,8.5903,10.6306,2.0403,59.2989,264.5153,291.0265,317.5377,307.65,10857.29602,-2.069818867, 
2020-05-12,8.0802,10.7363,2.6561,61.1414,264.3531,289.8655,315.3779,311.41,10857.089,-2.276837731, 
2020-05-11,7.4162,10.3322,2.9161,62.9196,265.1166,288.6475,312.1784,315.01,10856.96411,-2.40173117, 
2020-05-08,6.6872,9.2997,2.6125,61.4768,265.472,286.5595,307.647,310.13,10857.25874,-2.107100988, 
2020-05-07,6.034,8.3433,2.3093,59.5173,264.8367,284.4525,304.0683,303.74,10857.59534,-1.770494831, 
2020-05-06,5.4567,7.6519,2.1952,58.5423,263.4963,282.569,301.6417,300.63,10857.7949,-1.570942064, 
2020-05-05,4.9079,6.9748,2.067,57.5843,260.7951,280.509,300.2229,297.56,10857.99258,-1.3732606, 
2020-05-04,4.3911,6.3218,1.9306,56.2065,259.1775,278.7545,298.3315,293.16,10858.22724,-1.138599047, 
2020-05-01,3.9085,5.8442,1.9357,54.9131,251.797,276.167,300.537,289.07,10858.43457,-0.931270834, 
2020-04-30,3.4246,5.5661,2.1416,56.7546,246.8258,273.96,301.0942,293.8,10858.29516,-1.070681392, 
2020-04-29,2.8892,4.6486,1.7595,54.9112,242.1946,271.3155,300.4364,287.73,10858.62066,-0.745179376, 
2020-04-28,2.4493,4.028,1.5787,51.9799,240.6447,269.6435,298.6423,278.58,10859.00532,-0.360517892, 
2020-04-27,2.0546,4.1089,2.0543,53.6419,239.0728,268.455,297.8372,283.17,10858.82545,-0.540389084, 
2020-04-24,1.5411,3.685,2.144,53.5804,236.7957,266.6835,296.5713,282.97,10858.89512,-0.470717242, 
